,0,1,2,3,4
18,"Fulham have complete the agreement to sign Cédric Soares from Arsenal after verbal deal in place last week, here we go ⚪️⚫️🤝🏻 #DeadlineDay

Understand Fulham will cover Cédric’s full salary until the end of the season — it’s loan deal. https://t.co/4jZkjJwLQ1",18793,2023-01-31 19:50:39+00:00,https://t.co/mMvwZs5cbs,['http://pbs.twimg.com/media/Fn01JSFXoAY3mNB.jpg']
19,"Marcel Sabitzer to Manchester United, here we go! Full agreement reached on loan deal, no buy option — confirmed 🚨🔴 #MUFC #DeadlineDay

Deal set to be signed with Bayern in the final hours as personal terms agreed too.

Boarding completed - ✈️ Manchester @TurkishAirlines https://t.co/tLpe5XNVtJ",146853,2023-01-31 18:46:28+00:00,https://t.co/cgOf4zFSuh,['http://pbs.twimg.com/media/Fn0mdNtX0AcrJdu.jpg']
20,"Southampton are closing in on deal to sign Paul Onuachu, here we go — he will follow Kamaldeen Sulemana as new signing. ⚪️🔴 #DeadlineDay

Both Sulemana and Onuachu are now undergoing medical tests. https://t.co/4uHQcIoQ3a",21288,2023-01-31 18:35:08+00:00,https://t.co/g9zVBpp6WI,['http://pbs.twimg.com/media/Fn0j0vnXoA8rtSX.jpg']
21,"Vitinha to Olympique Marseille, deal signed and here we go confirmed! It’s all done with Braga for €26m fee plus add on up to €30m package 🚨⚪️🔵 #OM

Vitinha will land in Marseille in few minutes to complete medical tests. https://t.co/mMvwZs5cbs",19979,2023-01-31 16:20:11+00:00,https://t.co/k07mYlCiuU,['http://pbs.twimg.com/media/Fn0E-XCWYAAEtKH.jpg']
22,"Leicester City are set to complete the signing of Harry Souttar on permanent deal for £15m, here we go — medicals ongoing right now, almost done 🚨🔵🦊 #LCFC #DeadlineDay

Official statement to follow. https://t.co/cgOf4zFSuh",20564,2023-01-31 13:56:52+00:00,https://t.co/JHm1rMTzxw,['http://pbs.twimg.com/media/FnzkK6ZaQAAs_ph.jpg']
23,"Barcelona extend Álex Valle contract until June 2025 — he decided to stay despite many proposals from top 5 European leagues. 🔵🔴 #FCB

Xavi has been key to make this decision.

Álex Valle joins Andorra on loan until the end of the season, here we go 😉⤵️ https://t.co/SRHsGTH8vG",9555,2023-01-31 13:40:52+00:00,https://t.co/EuURRv2d2O,[]
24,"Vitinha to Olympique Marseille, here we go! Deal is in place for fee in excess of €30m — Vitinha will be in Marseille in the afternoon to sign the contract 🚨⚪️🔵 #OM

Documents are being prepared — OM are waiting to get it signed but they’re ahead of English clubs for Vitinha. https://t.co/g9zVBpp6WI",20869,2023-01-31 12:42:25+00:00,https://t.co/I5r2xD1PTB,['http://pbs.twimg.com/media/FnzTI07WIAAeRVP.jpg']
25,"Atlético Madrid are set to sign Matt Doherty on loan deal from Tottenham, here we go! Agreement in place — no buy option clause included. 🚨⚪️🔴 #Atléti #THFC

Medical booked for Doherty who’s set to leave as Porro will join Tottenham — first call, @marca. https://t.co/k07mYlCiuU",22657,2023-01-31 10:15:26+00:00,https://t.co/bJPUEM5f7d,['http://pbs.twimg.com/media/FnyxfJ0XkAIPAyA.jpg']
26,"Jorginho to Arsenal, here we go! Deal agreed on £12m fee, Chelsea accept conditions and documents are being prepared 🚨⚪️🔴 #AFC

Personal terms agreed, contract until 2024 with option further year.

First contact revealed yesterday night — medical booked.

Arteta, key factor. https://t.co/JHm1rMTzxw",142169,2023-01-31 09:55:18+00:00,https://t.co/owzD9TOWz7,['http://pbs.twimg.com/media/Fnys43NXwAMAwzu.jpg']
27,"Union Berlin are set to sign Isco on free transfer, here we go! Agreement now in place and medical tests scheduled on #DeadlineDay. Huge one for Union. 🚨🔴🇪🇸 #transfers

Isco has accepted after receiving many approaches from different countries — done as called by @Plettigoal. https://t.co/EuURRv2d2O",42905,2023-01-30 22:54:01+00:00,https://t.co/22XGrybahb,['http://pbs.twimg.com/media/FnwVhrnXEAAajBu.jpg']
